,Name,lat,lon,Amount,Address,City
0,Home Hardware Stores,49.27071,-123.06994,5.0,1575 Commercial Dr,Vancouver
1,Summit Tools,49.269593217623,-123.018089973541,3.0,3905 1st Avenue,Burnaby
2,Pacific Fasteners,49.2692151,-123.0178229,3.0,3934 E 1st Avenue,Burnaby
3,Rona,49.2182112003609,-122.955484083835,2.5,7260 Edmonds Street,Burnaby
4,Midland Liquidators,49.251534028253,-123.079166568123,4.5,1234 Kingsway,Vancouver
5,Lee Valley Tools,49.2109851,-123.0825266,4.0,1180 SE Marine Drive,Vancouver
6,Magnet Hardware,49.27071,-123.06994,4.5,1575 Commercial Dr,Vancouver
7,KMS Tools & Equipment Ltd,49.23508,-122.86915,4.0,110 Woolridge Street,Coquitlam
8,Sanitec,49.22916,-123.00448,5.0,1623-4500 Kingsway,Burnaby
9,Dick's Lumber & Building Supplies,49.2611359,-123.0141151,3.0,2580 Gilmore Avenue,Burnaby
10,West End Paint & Hardware,49.290116,-123.1344179,4.5,835 Bidwell Street,Vancouver
11,The Home Depot,49.264368968611,-123.114316368175,3.0,2388 Cambie Street,Vancouver
12,Bauer Industrial Equipment,49.20613,-123.01729,5.0,8678 Greenall Ave,Burnaby
13,Gandy's Home Hardware Store,49.2679199,-123.1566,4.0,2262 W 4th Ave,Vancouver
14,Kerrisdale Lumber,49.23003,-123.15614,4.0,6191 West Boulevard,Vancouver
15,Dunbar Lumber Supply,49.2597535,-123.1529751,4.0,2930 Arbutus Street,Vancouver
16,Lowe's,49.1865779,-122.9530591,2.0,1085 Tanaka Court,New Westminster
17,Rona Home Centre,49.2012557374036,-122.917547364082,3.0,1015 Columbia Street,New Westminster
18,Lee Valley Tools,49.22923,-122.84921,4.0,1401 United Boulevard,Coquitlam
19,Lowe's Hardware,49.2597073484272,-123.048348287439,2.5,2727 E 12 Avenue,Vancouver
20,Carleton Rescue Equipment,49.23518,-123.03738,4.0,3201 Kingsway,Vancouver
21,Cantu Bathrooms & Hardware,49.20883,-123.10758,3.5,8351 Ontario Street,Vancouver
22,Restoration Hardware,49.2631776,-123.1387958,2.5,2555 Granville Street,Vancouver
23,Pearson's Home Hardware,49.3209335784038,-123.070934578397,3.5,139 East 14th Street,North Vancouver
24,The Home Depot,49.32538,-123.140898,3.0,840 Main Street,West Vancouver
25,The Source Enterprises,49.276502,-123.1000699,4.0,929 Main Street,Vancouver
26,Benjamin Moore Paint,49.2805061,-122.9636459,1.0,6791 Hasting Street,Burnaby
27,Rona Home Centre,49.2480546702414,-122.866460931818,3.5,425 Lebleu Street,Coquitlam
28,Windsor Plywood,49.2656,-123.14051,3.0,1581 W 7th Avenue,Vancouver
29,The Little Hardware & Locksmith,49.2830592115995,-123.13557659911,3.5,1320 Davie Street,Vancouver
30,Caster Town Ltd,49.2723897,-123.0765228,4.0,1075 Clark Drive,Vancouver
31,Steveston Marine & Hardware,49.26737,-123.14265,2.5,1667 W 5th Avenue,Vancouver
32,Home Hardware,49.2801126951309,-123.130452732895,3.0,1053 Davie Street,Vancouver
33,Coast Signature Paint Ltd,49.268913,-123.0238649,2.5,1747 Boundary Road,Vancouver
34,Southridge Hardware,49.1559334,-122.9126816,4.5,11188 84th Avenue,Delta
35,Bradford Hardware,49.26947,-123.14172,3.5,1626 W 2nd Avenue,Vancouver
36,Rona Home Centre,49.2772759,-122.8032824,4.0,2798 Barnet Highway,Coquitlam
37,Rain Centre Roofing,49.2550848,-122.9725224,1.0,6200 Darnley St,Burnaby
38,Rain Centre Products,49.2550848,-122.9725224,1.0,6200 Darnley St,Burnaby
39,Save More Plumbing Heating & Electrical Supplies,49.15589,-122.87955,4.5,12387 84 Avenue,Surrey
40,Leafguard Pacific,49.189406,-123.0735021,3.5,3331 Viking Way,Richmond
41,Rona Home Centre,49.1725761,-123.1462997,2.5,7111 Elmbridge Way,Richmond
42,The Home Depot,49.2039355545583,-122.869339290295,2.0,12701 110 Avenue,Surrey
43,Cloverdale Paint,49.1291434,-122.8453959,5.0,6950 King George Boulevard,Surrey
44,Western Marine Company,49.2825,-123.07483,4.0,1494 Powell St,Vancouver
45,Gescan Division of Sonepar Canada,49.26812,-123.10989,3.0,234 3rd Avenue W,Vancouver
46,Rona Home Centre,49.3179451,-123.0986699,1.5,915 1st St W,North Vancouver
47,Rona Home Centre,49.3082051,-123.0453421,2.0,1160 3rd Street E,North Vancouver
48,Home Hardware Stores,49.32839,-123.16137,3.5,1750 Marine Dr,West Vancouver
49,West Coast Gardener's,49.24625,-123.05014,5.0,4289 Slocan Street,Vancouver
50,Green Line Hose & Fitting,49.16285,-122.95907,3.0,1477 Derwent Way,Delta
51,Dulux Paints,49.2641106,-123.1520691,4.0,2091 Broadway W,Vancouver
52,Dulux Paints,49.1421394,-122.8570633,4.0,7675 132nd St,Surrey
53,International Plumbing & Electrical Supplies,49.28061,-123.09854,2.5,245 Pender Street  E,Vancouver
54,Busy Bee Machine Tools,49.2297009,-122.8790648,5.0,30 Braid St,New Westminster
55,Windsor Plywood,49.308713,-123.047405,3.0,309 Kennard Avenue,North Vancouver
56,Arrow Equipment,49.3221583,-123.1057311,2.0,1132 West 15th Street,North Vancouver
57,Rona Home Centre,49.12906,-122.84593,2.5,6965 King George Hwy,Surrey
58,Tri-City Power Equipment,49.2283958038632,-122.834918087836,5.0,98 Fawcett Road,Coquitlam
59,Green Line Hose & Fitting,49.27699,-123.07388,2.0,1521 Venables Street,Vancouver
60,Dick's Lumber & Building Supplies,49.3188699,-123.09829,2.0,160 Hanes Ave,North Vancouver
61,Acklands-Grainger,49.26719,-123.10878,3.0,150 4th Avenue W,Vancouver
62,Diamond Store Fixtures,49.2109965,-123.0731949,1.0,1640 SE Marine Drive,Vancouver
63,Gentile's Cabinets Plus,49.18873,-123.08317,5.0,12800 Bathgate Way,Richmond
64,Summit Tools,49.2651406601988,-122.778249734085,3.0,3170-2850 Shaughnessy Street,Port Coquitlam
65,Novus Glass,49.2645246,-122.7897082,3.0,2672 Bedford Street,Port Coquitlam
66,Just Add Water,49.318619,-123.0998254,4.0,111-930 W 1st St,North Vancouver
67,Rapid Tool Repair,49.13903,-123.01417,3.0,7551 Vantage Way,Delta
68,Simpson Home Hardware,49.32839,-123.16137,3.0,1750 Marine Dr,West Vancouver
69,Arnold's Equipment & Supplies,49.2187247,-123.1020886,1.0,7275 Main St,Vancouver
70,Amre Supply Company Ltd,49.1747398,-123.1444321,1.0,7671 Alderbridge Way,Richmond
71,Arnold & Sons Roofing,49.14074,-122.85427,1.0,13302 76 Avenue,Surrey
72,Bluenose Plumbing & Heating Services,49.1203187,-122.84928,1.0,13459 64A Avenue,Surrey
